"type","modified","bibilographicCititation","CollectionID","datasetID","institutionCode","verbatimLocation","verbatimLatitude","verbatimLongitude","verbatimWaterbody","State","eventID","locationID","Year","verbatimEventDate","BFWidth","Grad","RchLen","BFWDRatio","BFHeight","WetWidth","WetWidthToDepth","RPD","PctPool","PctDry","StreamOrder","D50","PctFines2","PctFines6","LWDFreq","LWDVol","OEratio","MMI","Program"
NA,NA,NA,NA,NA,NA,NA,42.73022,-116.10283,"LITTLE JACKS","ID",NA,"1993SBOIA049","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.13492,-115.98106,"TWENTYMILE CREEK","ID",NA,"1995SBOIC020","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.68706,-112.2835,"BELL MARSH CREEK","ID",NA,"1995SPOCA003","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.3463,-116.23931,"SECOND FORK SQUAW CREEK","ID",NA,"1997SBOIA019","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.47557,-115.3236,"DAGGER CREEK","ID",NA,"1997SBOIB071","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.05314,-114.56209,"HOO DOO CREEK","ID",NA,"1997SIDFM118","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.72383,-112.42346,"WEST FORK MINK CREEK","ID",NA,"1997SPOCA004","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.36224,-112.69213,"WEBBER CREEK","ID",NA,"1998SIDFA041","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.00835,-113.45559,"LIME CREEK","ID",NA,"1998SIDFB065","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.14997,-113.69495,"EAST FORK PAHSIMEROI","ID",NA,"1998SIDFB124","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.08026,-114.26379,"GOOSE CREEK","ID",NA,"2002STWFV008","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.02202,-114.53395,"SHOSHONE CREEK","ID",NA,"2004SDEQA013","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,39.35901,-104.76432,"CHERRY CREEK","CO",NA,"CC0001","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,41.950878,-94.089731,"BEAVER BRANCH","IA",NA,"IAW02344-0096","2004",NA,6.6636363636,0.19,198,5.6114943166,0.7090909091,NA,11.558485399,15.971969697,10,0,NA,NA,76.19047619,28.571428571,NA,0.0006775807,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,41.950878,-94.089731,"BEAVER BRANCH","IA",NA,"IAW02344-0096","2004",NA,6.6636363636,0.19,198,5.6114943166,0.7090909091,NA,11.558485399,15.971969697,10,0,NA,NA,76.19047619,28.571428571,NA,0.0006775807,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,41.332723,-95.400885,"WEST NISHNABOTNA RIVER","IA",NA,"IAW02344-0097","2004",NA,38.845454545,0.1,990,19.35817017,1.0636363636,NA,33.609310018,15.338888889,2,0,NA,NA,94.285714286,30.476190476,NA,0.000881478,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,41.332723,-95.400885,"WEST NISHNABOTNA","IA",NA,"IAW02344-0097","2004",NA,38.845454545,0.1,990,19.35817017,1.0636363636,NA,33.609310018,15.338888889,2,0,NA,NA,94.285714286,30.476190476,NA,0.000881478,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.70254,-91.92294,"UNN TRIB. OTTER CREEK","IA",NA,"IAW02344-0098","2004",NA,4.1727272727,0.19,158.4,5.980870012,0.3963636364,NA,12.067908485,14.153248742,28,0,NA,NA,61.904761905,15.238095238,NA,8.77511e-05,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.70254,-91.92294,"UNNAMED TRIBUTARY OTTER CREEK","IA",NA,"IAW02344-0098","2004",NA,4.1727272727,0.19,158.4,5.980870012,0.3963636364,NA,12.067908485,14.153248742,28,0,NA,NA,61.904761905,15.238095238,NA,8.77511e-05,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.537422,-94.33916,"LIZARD CREEK","IA",NA,"IAW02344-0099","2004",NA,25.3,0.14,871.2,18.165906382,0.98,NA,54.616912989,18.583194742,35,0,NA,NA,53.333333333,11.428571429,NA,0.0020499189,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.537422,-94.33916,"LIZARD CREEK","IA",NA,"IAW02344-0099","2004",NA,25.3,0.14,871.2,18.165906382,0.98,NA,54.616912989,18.583194742,35,0,NA,NA,53.333333333,11.428571429,NA,0.0020499189,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.979807,-91.672783,"BELL CREEK","IA",NA,"IAW02344-0100","2004",NA,9.4818181818,1.485,237.6,12.08110179,0.4727272727,NA,23.448637392,15.288158753,18,0,NA,NA,16.19047619,2.8571428571,NA,0.0010795071,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.993331,-92.379581,"WAPSIPINICON","IA",NA,"IAW02344-0102","2004",NA,18.536363636,0.18,514.8,13.191133055,0.6818181818,NA,24.857949521,23.880084151,24,0,NA,NA,80.952380952,22.857142857,NA,0.0071754631,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,43.079063,-96.40991,"DRY CREEK","IA",NA,"IAW02344-0103","2004",NA,4.4636363636,0.21,198,5.1770616141,0.3681818182,NA,7.5233918014,18.69580618,3,0,NA,NA,76.19047619,45.714285714,NA,0.0001312514,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.446393,-95.541019,"BATTLE CREEK","IA",NA,"IAW02344-0104","2004",NA,2.4181818182,0.518,149,3.0218759372,0.2054545455,NA,3.3154467298,24.58678588,8.6666666667,0,NA,NA,60,39.047619048,NA,0,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,41.367449,-95.688846,"MOSQUITO CREEK","IA",NA,"IAW02344-0105","2004",NA,9.9,0.1,212.4,5.0958631244,0.7133333333,NA,6.368083212,23.460351902,10,0,NA,NA,88.333333333,65,NA,0.0009501798,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,40.828811,-95.204582,"WEST TARKIO CREEK","IA",NA,"IAW02344-0106","2004",NA,6.2272727273,0.34,198,5.90330892,0.4436363636,NA,8.535340507,17.286969697,14,0,NA,NA,54.285714286,52.380952381,NA,0.0164939173,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,41.772331,-90.441038,"BROPHY CREEK","IA",NA,"IAW02344-0108","2004",NA,17.254545455,0.1,633.6,15.099060277,0.57,NA,28.057353609,12.705028095,7,0,NA,NA,99.047619048,52.380952381,NA,0.0022528283,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.315165,-92.194157,"WOLF CR.","IA",NA,"IAW02344-0109","2004",NA,27.290909091,0.158,990,15.705209193,1.1145454545,NA,37.206447516,30.480519875,27,0,NA,NA,75.238095238,28.571428571,NA,0.0018180842,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.069351,-95.91925,"MAPLE RIVER","IA",NA,"IAW02344-0110","2004",NA,25.418181818,0.1,792,12.552253156,1.3109090909,NA,32.059683374,7.1891903328,0,0,NA,NA,84.761904762,23.80952381,NA,0.0002473772,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.410587,-94.98582,"NORTH RACOON RIVER","IA",NA,"IAW02344-0111","2004",NA,23.872727273,0.12,633.6,17.31768264,0.8854545455,NA,44.562735454,22.040337171,28,0,NA,NA,68.571428571,8.5714285714,NA,0.0056766734,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.993593,-95.078212,"MONTGOMERY CREEK","IA",NA,"IAW02344-0112","2004",NA,7.0909090909,0.23,158.4,11.022168578,0.3736363636,NA,18.992610748,17.850201752,16,0,NA,NA,74.285714286,29.523809524,NA,0.0045423789,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,42.651073,-95.997976,"JOHNS CREEK","IA",NA,"IAW02344-0113","2004",NA,8.6363636364,0.23,277.2,7.0159231281,0.5154545455,NA,8.1954310492,23.416737374,25,0,NA,NA,60,38.095238095,NA,0,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,40.666649,-94.26257,"MIDDLE FORK GRAND RIVER","IA",NA,"IAW02344-0114","2004",NA,4.4454545455,0.32,149,8.8637743409,0.4045454545,NA,30.150054113,3.1519389731,2.6666666667,0,NA,NA,63.80952381,6.6666666667,NA,0.0029801952,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,40.871349,-94.910048,"EAST NODAWAY RIVER","IA",NA,"IAW02344-0115","2004",NA,25.290909091,0.1,792,19.303223705,0.98,NA,59.872861365,10.339301363,2,0,NA,NA,92.380952381,22.857142857,NA,0.0017204349,NA,NA,"EPA"
