"locationID","verbatimLatitude","verbatimLongitude","verbatimWaterbody","Program"
"1993SBOIA049",42.73022,-116.10283,"LITTLE JACKS","EPA"
"1995SBOIC020",45.13492,-115.98106,"TWENTYMILE CREEK","EPA"
"1995SPOCA003",42.68706,-112.2835,"BELL MARSH CREEK","EPA"
"1997SBOIA019",44.3463,-116.23931,"SECOND FORK SQUAW CREEK","EPA"
"1997SBOIB071",44.47557,-115.3236,"DAGGER CREEK","EPA"
"1997SIDFM118",45.05314,-114.56209,"HOO DOO CREEK","EPA"
"1997SPOCA004",42.72383,-112.42346,"WEST FORK MINK CREEK","EPA"
"1998SIDFA041",44.36224,-112.69213,"WEBBER CREEK","EPA"
"1998SIDFB065",44.00835,-113.45559,"LIME CREEK","EPA"
"1998SIDFB124",44.14997,-113.69495,"EAST FORK PAHSIMEROI","EPA"
"2002STWFV008",42.08026,-114.26379,"GOOSE CREEK","EPA"
"2004SDEQA013",42.02202,-114.53395,"SHOSHONE CREEK","EPA"
"CC0001",39.35901,-104.76432,"CHERRY CREEK","EPA"
"IAW02344-0096",41.950878,-94.089731,"BEAVER BRANCH","EPA"
"IAW02344-0097",41.332723,-95.400885,"WEST NISHNABOTNA RIVER","EPA"
"IAW02344-0097",41.332723,-95.400885,"WEST NISHNABOTNA","EPA"
"IAW02344-0098",42.70254,-91.92294,"UNN TRIB. OTTER CREEK","EPA"
"IAW02344-0098",42.70254,-91.92294,"UNNAMED TRIBUTARY OTTER CREEK","EPA"
"IAW02344-0099",42.537422,-94.33916,"LIZARD CREEK","EPA"
"IAW02344-0100",42.979807,-91.672783,"BELL CREEK","EPA"
"IAW02344-0102",42.993331,-92.379581,"WAPSIPINICON","EPA"
"IAW02344-0103",43.079063,-96.40991,"DRY CREEK","EPA"
"IAW02344-0104",42.446393,-95.541019,"BATTLE CREEK","EPA"
"IAW02344-0105",41.367449,-95.688846,"MOSQUITO CREEK","EPA"
"IAW02344-0106",40.828811,-95.204582,"WEST TARKIO CREEK","EPA"
"IAW02344-0108",41.772331,-90.441038,"BROPHY CREEK","EPA"
"IAW02344-0109",42.315165,-92.194157,"WOLF CR.","EPA"
"IAW02344-0110",42.069351,-95.91925,"MAPLE RIVER","EPA"
"IAW02344-0111",42.410587,-94.98582,"NORTH RACOON RIVER","EPA"
"IAW02344-0112",42.993593,-95.078212,"MONTGOMERY CREEK","EPA"
"IAW02344-0113",42.651073,-95.997976,"JOHNS CREEK","EPA"
"IAW02344-0114",40.666649,-94.26257,"MIDDLE FORK GRAND RIVER","EPA"
"IAW02344-0115",40.871349,-94.910048,"EAST NODAWAY RIVER","EPA"
"IAW02344-0117",41.551162,-91.54602,"OLD MANS CREEK","EPA"
"IAW02344-0118",42.049414,-90.92558,"BEAR CREEK","EPA"
"IAW02344-0119",41.922856,-95.840388,"SOLDIER RIVER","EPA"
"IAW02344-0120",42.549931,-95.224388,"BOYER RIVER","EPA"
"IAW02344-0121",43.433471,-93.797331,"LITTLE BUFFALO CREEK","EPA"
"IAW02344-0122",42.814675,-96.16457,"FLOYD RIVER","EPA"
"IAW02344-0123",40.67347,-95.311915,"WEST TARKIO","EPA"
